"","obj","obj.approx","method","IT","time","n","p"
"1",0.0783953819259167,0.0783950282668711,"LB_APPROX",1,0.126,100,6
"2",0.0924967634943667,0.0782820146073326,"EXACT",1,6.081,100,6
"86",0.0788064388821539,0.0787946543983833,"RAND",1,1.733,100,6
"11",0.0878942967679447,0.0878937565833442,"LB_APPROX",2,0.0359999999999996,100,6
"12",0.0877713749611825,0.0877692750220742,"EXACT",2,10.992,100,6
"25",0.0884476419330597,0.0884142121832333,"RAND",2,1.528,100,6
"13",0.0753614197033254,0.0753602309968817,"LB_APPROX",3,0.0420000000000016,100,6
"14",0.0751866244336855,0.0751854896693319,"EXACT",3,4.121,100,6
"97",0.0757160716236532,0.0757039839308733,"RAND",3,1.675,100,6
"15",0.101618101485846,0.101616051770719,"LB_APPROX",4,0.0289999999999999,100,6
"16",0.101270503816957,0.101269142151695,"EXACT",4,13.163,100,6
"78",0.10178184253201,0.10174799446319,"RAND",4,1.564,100,6
"17",0.0798456709346861,0.0798445629591894,"LB_APPROX",5,0.0309999999999988,100,6
"18",0.0809265189785804,0.0796619434814681,"EXACT",5,5.504,100,6
"141",0.0805555143150492,0.0805312215337133,"RAND",5,1.882,100,6
"111",0.166721469876569,0.1666134478053,"LB_APPROX",1,0.0410000000000039,100,10
"21",0.163348283476185,0.163341241836623,"EXACT",1,78.947,100,10
"112",0.168306831985713,0.168023987946211,"RAND",1,2.77199999999999,100,10
"121",0.155641008744541,0.155551956030361,"LB_APPROX",2,0.0430000000000064,100,10
"131",0.155363974697804,0.152680346039336,"EXACT",2,125.781,100,10
"90",0.157433006248864,0.157088148298071,"RAND",2,2.69100000000003,100,10
"142",0.155411371854663,0.15540352762908,"LB_APPROX",3,0.04200000000003,100,10
"151",0.154840877991397,0.154833991508217,"EXACT",3,98.268,100,10
"4",0.160810311551155,0.160057386947894,"RAND",3,2.78899999999999,100,10
"161",0.168650916550007,0.168545026506081,"LB_APPROX",4,0.0430000000000064,100,10
"171",0.164981012048853,0.164978697622244,"EXACT",4,86.058,100,10
"38",0.172540661796802,0.169165120548943,"RAND",4,2.75800000000004,100,10
"181",0.13767406401481,0.137601703326215,"LB_APPROX",5,0.0430000000000064,100,10
"19",0.135233225644991,0.13498811604422,"EXACT",5,136.118,100,10
"110",0.143730334864127,0.142174039969678,"RAND",5,3.048,100,10
"113",0.596064396723892,0.593863703305323,"LB_APPROX",1,11.498,100,20
"22",0.579630529485396,0.577635275860709,"EXACT",1,601.174,100,20
"94",0.639367161714275,0.627224666357961,"RAND",1,10.4180000000001,100,20
"114",0.46819138446062,0.461870914556655,"LB_APPROX",2,18.3969999999999,100,20
"122",0.443266398945298,0.434819058990152,"EXACT",2,6308.85,100,20
"8",0.53285958508667,0.502048558862437,"RAND",2,9.66899999999987,100,20
"132",0.477495632963013,0.474814479407628,"LB_APPROX",3,31.8819999999996,100,20
"143",0.475135994777587,0.452642370822478,"EXACT",3,3605.781,100,20
"47",0.55512772977693,0.524028327806241,"RAND",3,18.2780000000002,100,20
"152",0.463203143441226,0.458334934225821,"LB_APPROX",4,68.1739999999991,100,20
"162",0.447868781035867,0.431501146200016,"EXACT",4,4509.145,100,20
"54",0.527949740452274,0.491638225198327,"RAND",4,21.8269999999993,100,20
